TIME ms, IN1, OUT1
500, 2.802734, 0.001954
499.023, 2.822266, 0.003907
498.047, 2.851562, 0.005861
497.07, 2.880859, 0.007812
496.094, 2.900391, 0.009766
495.117, 2.929688, 0.011718
494.141, 2.949219, 0.013672
493.164, 2.988281, 0.015625
492.188, 3.007812, 0.017578
491.211, 3.027344, 0.019531
490.234, 3.066406, 0.021485
489.258, 3.085938, 0.023438
488.281, 3.105469, 0.025391
487.305, 3.144531, 0.027344
486.328, 3.173828, 0.029297
485.352, 3.183594, 0.03125
484.375, 3.203125, 0.033203
483.398, 3.251953, 0.035157
482.422, 3.261719, 0.037109
481.445, 3.291016, 0.039063
480.469, 3.330078, 0.041016
479.492, 3.349609, 0.042968
478.516, 3.369141, 0.044922
477.539, 3.398438, 0.046875
476.563, 3.427734, 0.048828
475.586, 3.457031, 0.050781
474.609, 3.476562, 0.052735
473.633, 3.505859, 0.054687
472.656, 3.525391, 0.056641
471.68, 3.574219, 0.058594
470.703, 3.583984, 0.060547
469.727, 3.613281, 0.0625
468.75, 3.652344, 0.064453
467.773, 3.662109, 0.066406
466.797, 3.701172, 0.068359
465.82, 3.730469, 0.070312
464.844, 3.759766, 0.072266
463.867, 3.779297, 0.074219
462.891, 3.808594, 0.076172
461.914, 3.837891, 0.078125
460.938, 3.857422, 0.080078
459.961, 3.876953, 0.082031
458.984, 3.916016, 0.083985
458.008, 3.935547, 0.085938
457.031, 3.955078, 0.087891
456.055, 3.994141, 0.089844
455.078, 4.023438, 0.091797
454.102, 4.042969, 0.09375
453.125, 4.072266, 0.095703
452.148, 4.101562, 0.097656
451.172, 4.121094, 0.099609
450.195, 4.160156, 0.101563
449.219, 4.179688, 0.103516
448.242, 4.208984, 0.105469
447.266, 4.248047, 0.107422
446.289, 4.257812, 0.109375
445.313, 4.306641, 0.111328
444.336, 4.326172, 0.113281
443.359, 4.355469, 0.115234
442.383, 4.375, 0.117187
441.406, 4.404297, 0.119141
440.43, 4.443359, 0.121094
439.453, 4.472656, 0.123047
438.477, 4.492188, 0.125
437.5, 4.521484, 0.126953
436.523, 4.541016, 0.128906
435.547, 4.580078, 0.130859
434.57, 4.599609, 0.132813
433.594, 4.638672, 0.134766
432.617, 4.658203, 0.136719
431.641, 4.677734, 0.138672
430.664, 0.771484, 0.140625
429.688, 0, 0.142578
428.711, 0, 0.144531
427.734, 0, 0.146484
426.758, 0, 0.148437
425.781, 0, 0.150391
424.805, 0, 0.152344
423.828, 0, 0.154297
422.852, 0, 0.15625
421.875, 0, 0.158203
420.898, 0, 0.160156
419.922, 0.009766, 0.162109
418.945, 0.009766, 0.164062
417.969, 0.009766, 0.166016
416.992, 0.009766, 0.167969
416.016, 0, 0.169922
415.039, 0, 0.171875
414.063, 0, 0.173828
413.086, 0, 0.175781
412.109, 0, 0.177734
411.133, 0, 0.179688
410.156, 0, 0.181641
409.18, 0, 0.183594
408.203, 0, 0.185547
407.227, 0, 0.1875
406.25, 0, 0.189453
405.273, 0, 0.191406
404.297, 0, 0.193359
403.32, 0, 0.195313
402.344, 0, 0.197266
401.367, 0, 0.199219
400.391, 0, 0.201172
399.414, 0.009766, 0.203125
398.438, 0.009766, 0.205078
397.461, 0.009766, 0.207031
396.484, 0.009766, 0.208984
395.508, 0, 0.210937
394.531, 0, 0.212891
393.555, 0, 0.214844
392.578, 0, 0.216797
391.602, 0, 0.21875
390.625, 0, 0.220703
389.648, 0, 0.222656
388.672, 0, 0.224609
387.695, 0, 0.226562
386.719, 0, 0.228516
385.742, 0, 0.230469
384.766, 0, 0.232422
383.789, 0, 0.234375
382.813, 0, 0.236328
381.836, 0, 0.238281
380.859, 0, 0.240234
379.883, 0.009766, 0.242188
378.906, 0.009766, 0.244141
377.93, 0.009766, 0.246094
376.953, 0.009766, 0.248047
375.977, 0.009766, 0.25
375, 0, 0.251953
374.023, 0, 0.253906
373.047, 0, 0.255859
372.07, 0, 0.257812
371.094, 0, 0.259766
370.117, 0, 0.261719
369.141, 0, 0.263672
368.164, 0, 0.265625
367.188, 0, 0.267578
366.211, 0, 0.269531
365.234, 0, 0.271484
364.258, 0, 0.273437
363.281, 0, 0.275391
362.305, 0, 0.277344
361.328, 0, 0.279297
360.352, 0, 0.28125
359.375, 0.009766, 0.283203
358.398, 0.009766, 0.285156
357.422, 0.009766, 0.287109
356.445, 0.009766, 0.289062
355.469, 0, 0.291016
354.492, 0, 0.292969
353.516, 0, 0.294922
352.539, 0, 0.296875
351.563, 0, 0.298828
350.586, 0, 0.300781
349.609, 0, 0.302734
348.633, 0, 0.304688
347.656, 0, 0.306641
346.68, 0, 0.308594
345.703, 0, 0.310547
344.727, 0, 0.3125
343.75, 0, 0.314453
342.773, 0, 0.316406
341.797, 0, 0.318359
340.82, 0, 0.320312
339.844, 0, 0.322266
338.867, 0.009766, 0.324219
337.891, 0.009766, 0.326172
336.914, 0, 0.328125
335.938, 0, 0.330078
334.961, 0, 0.332031
333.984, 0, 0.333984
333.008, 0, 0.335938
332.031, 0, 0.337891
331.055, 0, 0.339844
330.078, 0, 0.341797
329.102, 0, 0.34375
328.125, 0, 0.345703
327.148, 0, 0.347656
326.172, 0, 0.349609
325.195, 0, 0.351563
324.219, 0, 0.353516
323.242, 0, 0.355469
322.266, 0, 0.357422
321.289, 0, 0.359375
320.313, 0, 0.361328
319.336, 0.009766, 0.363281
318.359, 0.009766, 0.365234
317.383, 0, 0.367187
316.406, 0.009766, 0.369141
315.43, 0, 0.371094
314.453, 0, 0.373047
313.477, 0, 0.375
312.5, 0, 0.376953
311.523, 0, 0.378906
310.547, 0, 0.380859
309.57, 0, 0.382812
308.594, 0, 0.384766
307.617, 0, 0.386719
306.641, 0, 0.388672
305.664, 0, 0.390625
304.688, 0, 0.392578
303.711, 0, 0.394531
302.734, 0, 0.396484
301.758, 0, 0.398438
300.781, 0, 0.400391
299.805, 0.009766, 0.402344
298.828, 0.009766, 0.404297
297.852, 0.009766, 0.40625
296.875, 0.009766, 0.408203
295.898, 0, 0.410156
294.922, 0, 0.412109
293.945, 0, 0.414062
292.969, 0, 0.416016
291.992, 0, 0.417969
291.016, 0, 0.419922
290.039, 0, 0.421875
289.063, 0, 0.423828
288.086, 0, 0.425781
287.109, 0, 0.427734
286.133, 0, 0.429687
285.156, 0, 0.431641
284.18, 0, 0.433594
283.203, 0, 0.435547
282.227, 0, 0.4375
281.25, 0, 0.439453
280.273, 0, 0.441406
279.297, 0.009766, 0.443359
278.32, 0.009766, 0.445312
277.344, 0.009766, 0.447266
276.367, 0, 0.449219
275.391, 0, 0.451172
274.414, 0, 0.453125
273.438, 0, 0.455078
272.461, 0, 0.457031
271.484, 0, 0.458984
270.508, 0, 0.460938
269.531, 0, 0.462891
268.555, 0, 0.464844
267.578, 0, 0.466797
266.602, 0, 0.46875
265.625, 0, 0.470703
264.648, 0, 0.472656
263.672, 0, 0.474609
262.695, 0, 0.476562
261.719, 0, 0.478516
260.742, 0, 0.480469
259.766, 0.009766, 0.482422
258.789, 0.009766, 0.484375
257.813, 0, 0.486328
256.836, 0.009766, 0.488281
255.859, 0, 0.490234
254.883, 0, 0.492187
253.906, 0, 0.494141
252.93, 0, 0.496094
251.953, 0, 0.498047
250.977, 0, 0.5
250, 0, 0.501953
249.023, 0, 0.503906
248.047, 0, 0.505859
247.07, 0, 0.507812
246.094, 0, 0.509766
245.117, 0, 0.511719
244.141, 0, 0.513672
243.164, 0, 0.515625
242.188, 0, 0.517578
241.211, 0, 0.519531
240.234, 0, 0.521484
239.258, 0.009766, 0.523437
238.281, 0.009766, 0.525391
237.305, 0, 0.527344
236.328, 0.009766, 0.529297
235.352, 0, 0.53125
234.375, 0, 0.533203
233.398, 0, 0.535156
232.422, 0, 0.537109
231.445, 0, 0.539062
230.469, 0, 0.541016
229.492, 0, 0.542969
228.516, 0, 0.544922
227.539, 0, 0.546875
226.563, 0, 0.548828
225.586, 0, 0.550781
224.609, 0, 0.552734
223.633, 0, 0.554688
222.656, 0, 0.556641
221.68, 0, 0.558594
220.703, 0, 0.560547
219.727, 0.009766, 0.5625
218.75, 0.009766, 0.564453
217.773, 0.009766, 0.566406
216.797, 0, 0.568359
215.82, 0, 0.570313
214.844, 0, 0.572266
213.867, 0, 0.574219
212.891, 0, 0.576172
211.914, 0, 0.578125
210.938, 0, 0.580078
209.961, 0, 0.582031
208.984, 0, 0.583984
208.008, 0, 0.585937
207.031, 0, 0.587891
206.055, 0, 0.589844
205.078, 0, 0.591797
204.102, 0, 0.59375
203.125, 0, 0.595703
202.148, 0, 0.597656
201.172, 0, 0.599609
200.195, 0, 0.601562
199.219, 0.009766, 0.603516
198.242, 0.009766, 0.605469
197.266, 0.009766, 0.607422
196.289, 0, 0.609375
195.313, 0, 0.611328
194.336, 0, 0.613281
193.359, 0, 0.615234
192.383, 0, 0.617188
191.406, 0, 0.619141
190.43, 0, 0.621094
189.453, 0, 0.623047
188.477, 0, 0.625
187.5, 0, 0.626953
186.523, 0, 0.628906
185.547, 0, 0.630859
184.57, 0, 0.632812
183.594, 0, 0.634766
182.617, 0, 0.636719
181.641, 0, 0.638672
180.664, 0, 0.640625
179.688, 0.009766, 0.642578
178.711, 0.009766, 0.644531
177.734, 0.009766, 0.646484
176.758, 0.009766, 0.648437
175.781, 0, 0.650391
174.805, 0, 0.652344
173.828, 0, 0.654297
172.852, 0, 0.65625
171.875, 0, 0.658203
170.898, 0, 0.660156
169.922, 0, 0.662109
168.945, 0, 0.664062
167.969, 0, 0.666016
166.992, 0, 0.667969
166.016, 0, 0.669922
165.039, 0, 0.671875
164.063, 0, 0.673828
163.086, 0, 0.675781
162.109, 0, 0.677734
161.133, 0, 0.679688
160.156, 0, 0.681641
159.18, 0.009766, 0.683594
158.203, 0.009766, 0.685547
157.227, 0.009766, 0.6875
156.25, 0, 0.689453
155.273, 0, 0.691406
154.297, 0, 0.693359
153.32, 0, 0.695312
152.344, 0, 0.697266
151.367, 0, 0.699219
150.391, 0, 0.701172
149.414, 0, 0.703125
148.438, 0, 0.705078
147.461, 0, 0.707031
146.484, 0, 0.708984
145.508, 0, 0.710938
144.531, 0, 0.712891
143.555, 0, 0.714844
142.578, 0, 0.716797
141.602, 0, 0.71875
140.625, 0, 0.720703
139.648, 0.009766, 0.722656
138.672, 0.009766, 0.724609
137.695, 0.009766, 0.726563
136.719, 0, 0.728516
135.742, 0, 0.730469
134.766, 0, 0.732422
133.789, 0, 0.734375
132.813, 0, 0.736328
131.836, 0, 0.738281
130.859, 0, 0.740234
129.883, 0, 0.742188
128.906, 0, 0.744141
127.93, 0, 0.746094
126.953, 0, 0.748047
125.977, 0, 0.75
125, 0, 0.751953
124.023, 0, 0.753906
123.047, 0, 0.755859
122.07, 0, 0.757812
121.094, 0, 0.759766
120.117, 0.009766, 0.761719
119.141, 0.009766, 0.763672
118.164, 0.009766, 0.765625
117.188, 0.009766, 0.767578
116.211, 0, 0.769531
115.234, 0, 0.771484
114.258, 0, 0.773438
113.281, 0, 0.775391
112.305, 0, 0.777344
111.328, 0, 0.779297
110.352, 0, 0.78125
109.375, 0, 0.783203
108.398, 0, 0.785156
107.422, 0, 0.787109
106.445, 0, 0.789062
105.469, 0, 0.791016
104.492, 0, 0.792969
103.516, 0, 0.794922
102.539, 0, 0.796875
101.563, 0, 0.798828
100.586, 0, 0.800781
99.609, 0.009766, 0.802734
98.633, 0.009766, 0.804687
97.656, 0.009766, 0.806641
96.68, 0.009766, 0.808594
95.703, 0, 0.810547
94.727, 0, 0.8125
93.75, 0, 0.814453
92.773, 0, 0.816406
91.797, 0, 0.818359
90.82, 0, 0.820312
89.844, 0, 0.822266
88.867, 0, 0.824219
87.891, 0, 0.826172
86.914, 0, 0.828125
85.938, 0, 0.830078
84.961, 0, 0.832031
83.984, 0, 0.833984
83.008, 0, 0.835937
82.031, 0, 0.837891
81.055, 0, 0.839844
80.078, 0.009766, 0.841797
79.102, 0.009766, 0.84375
78.125, 0.009766, 0.845703
77.148, 0.009766, 0.847656
76.172, 0.009766, 0.849609
75.195, 0, 0.851562
74.219, 0, 0.853516
73.242, 0, 0.855469
72.266, 0, 0.857422
71.289, 0, 0.859375
70.313, 0, 0.861328
69.336, 0, 0.863281
68.359, 0, 0.865234
67.383, 0, 0.867188
66.406, 0, 0.869141
65.43, 0, 0.871094
64.453, 0, 0.873047
63.477, 0, 0.875
62.5, 0, 0.876953
61.523, 0, 0.878906
60.547, 0, 0.880859
59.57, 0.009766, 0.882812
58.594, 0.009766, 0.884766
57.617, 0.009766, 0.886719
56.641, 0, 0.888672
55.664, 0, 0.890625
54.688, 0, 0.892578
53.711, 0, 0.894531
52.734, 0, 0.896484
51.758, 0, 0.898438
50.781, 0, 0.900391
49.805, 0, 0.902344
48.828, 0, 0.904297
47.852, 0, 0.90625
46.875, 0, 0.908203
45.898, 0, 0.910156
44.922, 0, 0.912109
43.945, 0, 0.914062
42.969, 0, 0.916016
41.992, 0, 0.917969
41.016, 0, 0.919922
40.039, 0.009766, 0.921875
39.063, 0.009766, 0.923828
38.086, 0.009766, 0.925781
37.109, 0.009766, 0.927734
36.133, 0.009766, 0.929688
35.156, 0, 0.931641
34.18, 0, 0.933594
33.203, 0, 0.935547
32.227, 0, 0.9375
31.25, 0, 0.939453
30.273, 0, 0.941406
29.297, 0, 0.943359
28.32, 0, 0.945312
27.344, 0, 0.947266
26.367, 0, 0.949219
25.391, 0, 0.951172
24.414, 0, 0.953125
23.438, 0, 0.955078
22.461, 0, 0.957031
21.484, 0, 0.958984
20.508, 0, 0.960938
19.531, 0.009766, 0.962891
18.555, 0.009766, 0.964844
17.578, 0.009766, 0.966797
16.602, 0.009766, 0.96875
15.625, 0, 0.970703
14.648, 0, 0.972656
13.672, 0, 0.974609
12.695, 0, 0.976562
11.719, 0, 0.978516
10.742, 0, 0.980469
9.766, 0, 0.982422
8.789, 0.009766, 0.984375
7.813, 0, 0.986328
6.836, 0, 0.988281
5.859, 0, 0.990234
4.883, 0, 0.992187
3.906, 0, 0.994141
2.93, 0, 0.996094
1.953, 0, 0.998047
0.977, 0, 1
0, 0.009766, 1.001953
-0.977, 0.009766, 1.003906
-1.953, 0.009766, 1.005859
-2.93, 0.009766, 1.007812
-3.906, 0.009766, 1.009766
-4.883, 0, 1.011719
-5.859, 0, 1.013672
-6.836, 0, 1.015625
-7.813, 0, 1.017578
-8.789, 0, 1.019531
-9.766, 0, 1.021484
-10.742, 0, 1.023438
-11.719, 0, 1.025391
-12.695, 0, 1.027344
-13.672, 0, 1.029297
-14.648, 0, 1.03125
-15.625, 0, 1.033203
-16.602, 0, 1.035156
-17.578, 0, 1.037109
-18.555, 0, 1.039062
-19.531, 0, 1.041016
-20.508, 0.009766, 1.042969
-21.484, 0.009766, 1.044922
-22.461, 0.009766, 1.046875
-23.438, 0.009766, 1.048828
